generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,198444.5416733184,38437.49770745261,96647.7099353371,-19772.714520431873
2,198449.89792141385,53615.77814970426,179329.74005135556,-72098.18375194706
3,198449.98891536167,55323.67623531556,189985.41171685362,-79338.05924622249
4,198449.98891536167,38979.34899733558,183823.8647773398,-105865.16678266862
5,198449.99527439437,73911.41917286858,172435.96730917122,-24613.12896343405
6,198449.9990395903,28212.166370051746,194353.6046613309,-137929.27192122742
7,198449.9990395903,53599.31589132304,195133.8835423576,-87935.25175971152
8,198449.99984468758,61815.59801986177,192097.72538363334,-68466.52934390982
9,198449.9999156995,69524.86713984175,154500.44181330543,-15450.707533621942
10,198449.99999081666,78808.55383658447,172065.32320680277,-14448.215533633833
11,198449.99999081666,61621.86795089133,161831.9660621565,-38588.23016037387
12,198449.99999756197,79566.3087888663,185084.70247332694,-25952.08489559435
13,198449.9999984571,81141.27270773034,187728.27258902392,-25445.727173563224
14,198449.9999984571,86542.19834765888,195898.46845888824,-22814.07176357048
15,198449.99999905715,83617.1582663843,201597.0432709508,-34362.72673818217
16,198449.99999990055,71081.28436622296,221184.50781258015,-79021.93908013425
17,198449.99999997928,91385.14335510092,190583.14129949274,-7812.854589290888
18,198449.9999999999,92767.07459311615,188442.1542105928,-2908.005024360493
19,198450.0,86035.60541828981,254020.09348023034,-81948.88264365072
20,198450.0,93294.3661758519,272862.8997704169,-86274.16741871313
21,198450.0,97398.8358604998,253019.0685938149,-58221.39687281531
22,198450.0,97206.84869662202,228933.07990098925,-34519.38250774522
23,198450.0,95770.2667464878,221040.18699341163,-29499.653500436005
24,198450.0,113761.13478956773,234018.9565790373,-6496.686999901824
25,198450.0,111861.57363083393,232336.2374615739,-8613.090199906044
26,198450.0,112010.97409423342,219110.7805831157,4911.167605351118
27,198450.0,101413.43461249718,205671.00794554217,-2844.1387205478095
28,198450.0,98750.05818120953,195355.25536828468,2144.8609941343893
29,198450.0,101156.22652178082,241689.0769101109,-39376.62386654924
30,198450.0,105036.85327794045,199165.32788747933,10908.378668401565
31,198450.0,113595.0295442338,207161.7236593155,20028.335429152095
32,198450.0,110325.90510745368,221898.08014282968,-1246.2699279223016
33,198450.0,98876.79799126656,228168.2578180891,-30414.661835555977
34,198450.0,81365.47181604855,240885.69768252943,-78154.75405043233
35,198450.0,101318.33042521092,232020.44523395976,-29383.784383537903
36,198450.0,97212.93505740108,209606.4839564645,-15180.613841662358
37,198450.0,89967.40474898803,188375.16311056874,-8440.353612592677
38,198450.0,96205.85004112708,200393.64339386346,-7981.943311609313
39,198450.0,105942.46925306247,197848.67404415098,14036.264461973959
40,198450.0,113494.88358861508,201543.43658253376,25446.33059469638
